fish_id,Genotype,Position,Tray,Trial,Time,Bin,Dist_travelled_total,Dist_travelled_mean,Dist_travelled_var,Velocity_mean,Velocity_var,Time_moving_total,Freq_moving,Acceleration_max,Acceleration_min,Acceleration_var,Freq_in_middle,Time_in_middle_total,Time_in_middle_mean,Time_in_middle_var,Dist_to_middle_total,Dist_to_middle_mean,Dist_to_middle_var,Mobility_total,Mobility_mean,Mobility_var,Meander_total,Meander_mean,Meander_var,Heading_mean,Heading_var
3.2-6.10,het,A3,5,10,1899-12-31T10:41:00Z,8,138.142,0.0920948,0.0631669,2.30237,39.4793,35.36,42,2160.22,-1376.91,26289.3,5,22.64,4.528,44.4723,2208.34,1.47223,2.15118,9804.48,6.53632,287.329,6883.51,48.8192,12345,116.081,3000.54
3.2-6.10,het,A3,5,10,1899-12-31T10:41:00Z,9,90.535,0.0604373,0.0305831,1.51093,19.1144,20.84,31,1346.34,-906.188,12572.1,4,25.2,6.3,19.9909,1589.02,1.06005,1.74471,6724.98,4.4893,172.452,4780.61,48.7817,10188.7,103.476,2990.29
3.2-6.10,het,A3,5,10,1899-12-31T10:41:00Z,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4546.37,3.03902,2.45337e-5,0,0,0,0,0,0,0,0
3.2-6.10,het,A3,5,10,1899-12-31T10:41:00Z,12,4.12392,0.00274928,6.85341e-4,0.0687321,0.428338,0,0,252.76,-252.76,541.332,0,0,0,0,4669.47,3.11298,0.00617691,248.963,0.165975,3.17741,0,0,0,14.0407,3083.62
3.2-6.10,het,A3,5,10,1899-12-31T10:41:00Z,13,3.19183,0.00212789,0.00139738,0.0531972,0.873361,0.64,1,739.67,-379.743,720.479,0,0,0,0,5076.45,3.3843,0.00237229,226.571,0.151047,7.23208,80.6477,80.6477,0,157.449,2195.91
3.2-6.10,het,A3,5,10,1899-12-31T10:41:00Z,14,4.37143,0.00291429,9.14981e-4,0.0728572,0.571863,0.6,1,308.386,-265.342,526.884,0,0,0,0,4430.66,2.95377,0.166327,280.668,0.187112,5.51205,338.581,84.6451,16411.7,113.504,1453.21
4.2-6.10,wt,A4,5,1,1899-12-31T07:00:00Z,0,32.1651,0.0217626,0.0169847,0.544065,10.6154,6,11,1037.78,-840.227,5483.59,2,4.28,2.14,1.4792,4155.15,2.80375,0.730171,2105.74,1.42472,60.9613,749.347,25.8395,806.326,175.639,2622.84
4.2-6.10,wt,A4,5,1,1899-12-31T07:00:00Z,1,77.3135,0.0515424,0.025146,1.28856,15.7163,18.64,28,1306.67,-1247.43,8898.2,2,7,3.5,18.7272,2831.16,1.88744,1.05304,6191.76,4.12784,161.499,3907.91,37.9409,4790.93,120.849,2971.87
4.2-6.10,wt,A4,5,1,1899-12-31T07:00:00Z,2,1.99383,0.00132922,5.70584e-4,0.0332305,0.356615,0,0,342.049,-342.049,346.411,0,0,0,0,1739.07,1.15938,0.070035,111.118,0.0740787,1.89422,17.846800000000002,17.846800000000002,0,107.545,312.583
4.2-6.10,wt,A4,5,1,1899-12-31T07:00:00Z,3,83.4433,0.0556289,0.0951461,1.39072,59.4663,7.72,4,2091.51,-2178.83,32806.6,3,1.84,0.613333,0.194133,2364.93,1.57662,1.01386,4420.12,2.94675,166.741,2433.31,32.8825,7923.55,135.129,2497.45
4.2-6.10,wt,A4,5,1,1899-12-31T07:00:00Z,4,0.807916,5.3861e-4,1.49629e-4,0.0134653,0.0935183,0,0,208.293,-208.293,117.125,0,0,0,0,4035.6,2.6904,0.00133911,49.0124,0.032675,0.58998,0,0,0,2.40394,2193.14
