fish_id,Genotype,Trial,Distance_travelled,Velocity_mean,Velocity_var,Time_moving,Freq_moving,Acceleration_max,Acceleration_min,Freq_in_middle,Time_in_middle,Dist_to_middle_mean,Dist_to_middle_var,Mobility_var,Mobility_mean
1.4-7.10,het,4,0.8359016666666667,0.013934926666666667,0.07253756666666666,0,0,92.54966666666667,-92.54966666666667,0,0,2.56596,0.00138094973346277,0.09968966666666666,0.014040970000000002
1.4-7.10,het,8,87.5805,1.4596753333333334,17.267323333333334,20.4,27,892.7003333333333,-921.1733333333333,2,3.7466666666666666,2.5069766666666666,0.8881479999999999,177.09483333333333,4.401696666666667
1.4-7.10,het,14,98.5676,1.6437376666666668,18.37693,24.08,32,566.075,-450.223,2.6666666666666665,13.6,1.7926449999999998,1.1392836666666666,214.0828,5.201883333333333
10.4-7.10,het,1,29.492896666666667,0.49154800000000004,6.606616666666667,4.72,10,1155.4926666666665,-893.5406666666667,2.3333333333333335,11.453333333333333,1.0169516666666667,0.5625720666666667,47.588366666666666,1.3634563333333332
10.4-7.10,het,5,152.22706666666667,2.5382266666666666,26.920866666666665,37.42666666666667,35,795.253,-561.4573333333334,2.6666666666666665,9.533333333333333,1.87398,1.0660706666666666,181.33433333333332,6.24071
10.4-7.10,het,9,131.78733333333332,2.1972666666666667,25.169966666666667,35.986666666666665,46,1234.3283333333334,-1181.365,4.333333333333333,13.573333333333334,1.5229066666666666,1.3165473333333333,169.67233333333334,5.4079733333333335
10.4-7.10,het,15,133.96666666666667,2.2327833333333333,22.357866666666666,35.693333333333335,42,625.2596666666667,-512.2676666666667,3,6.92,2.0017233333333335,1.177029,171.04266666666666,5.61351
11.4-7.10,hom,1,11.84443,0.1974071,2.241266,1.9466666666666665,2.6666666666666665,297.6653333333333,-279.49666666666667,1.3333333333333333,58.32,0.035132333333333335,0.066167,18.733508999999998,0.4661643666666666
11.4-7.10,hom,5,15.018942000000001,0.2509367866666667,3.0547959,2.853333333333333,2.6666666666666665,314.32966666666664,-316.2703333333333,0,0,2.9233700000000002,0.0037169716666666667,32.449572266666664,0.7024761366666668
11.4-7.10,hom,9,14.385283333333334,0.23982833333333334,2.627038333333333,0.8266666666666667,1.3333333333333333,539.651,-418.07433333333336,0.3333333333333333,5.1066666666666665,2.3698,0.4389757333333333,13.296093333333333,0.42405733333333334
11.4-7.10,hom,15,45.68597666666667,0.761435,7.595212,11.586666666666666,13.333333333333334,420.883,-372.17766666666665,3,28.253333333333334,0.7883532666666667,0.5473345666666667,74.54411,2.0605823333333335
12.4-7.10,het,1,171.858,2.8643,31.800033333333335,41.42666666666667,39,1102.3906666666667,-964.418,3.6666666666666665,4.44,2.5713166666666667,1.1451726666666666,295.8353333333333,8.165126666666666
12.4-7.10,het,5,2.4612133333333333,0.0410513,0.21540066666666668,0,0,143.29566666666668,-143.29566666666668,0,0,2.40149,0.07621409999999999,0.28410633333333335,0.0440589
12.4-7.10,het,9,13.05968,0.21769186666666668,1.7438666666666667,1.52,2.3333333333333335,437.76933333333335,-279.0973333333333,0,0,2.9223666666666666,0.02685564,14.506150333333334,0.4435215
12.4-7.10,het,15,5.310346666666667,0.08850566666666666,0.49246333333333336,0,0,169.83333333333331,-162.57133333333334,0.3333333333333333,6.266666666666667,1.5600563333333333,0.13676656666666667,1.2047036666666666,0.1264699
13.4-7.10,hom,1,62.63524666666666,1.0439196666666666,11.145776666666666,15.226666666666667,16.666666666666668,856.8916666666667,-537.184,1.3333333333333333,1.5333333333333334,3.169306666666667,0.5277414,92.04482666666667,2.7764233333333332
13.4-7.10,hom,5,16.11383,0.2687626666666667,2.224735,2.2533333333333334,3.3333333333333335,382.633,-328.88733333333334,0.3333333333333333,1.04,2.1447966666666667,0.46101733333333333,26.916136666666667,0.7094053333333333
13.4-7.10,hom,9,144.50683333333333,2.40907,23.070766666666668,37.906666666666666,39.333333333333336,602.1243333333333,-509.67466666666667,3.6666666666666665,5.32,2.00642,0.987528,210.57633333333334,6.38506
13.4-7.10,hom,15,58.3328,0.972214,9.17151,14.24,21,719.4206666666666,-481.527,3.6666666666666665,11.493333333333334,1.4974276666666666,1.270817,81.20676666666667,2.456256666666667
14.4-7.10,wt,1,3.973845,0.06623076666666666,0.4521305,0.5066666666666667,1,209.22533333333334,-221.36766666666668,0,0,2.246043333333333,0.04857616666666666,2.12498,0.12777353333333333
14.4-7.10,wt,5,0.7919873333333334,0.0132059,0.07166603333333332,0,0,138.22766666666666,-138.22766666666666,0,0,1.9369466666666666,0.003193328666666667,0.2502216666666667,0.024219333333333332
14.4-7.10,wt,9,38.57319666666667,0.6429226,5.269635666666667,8.76,8,408.431,-286.66133333333335,0.6666666666666666,20.36,1.54281,1.0073283333333334,46.546596,1.6839137666666666
14.4-7.10,wt,15,96.59546666666667,1.6099233333333334,17.415633333333332,24.213333333333335,34.666666666666664,598.145,-525.6283333333333,6.666666666666667,13.826666666666666,1.1523613333333333,0.9862826666666666,155.43666666666667,4.37063
15.4-7.10,wt,1,161.137,2.6856166666666668,32.35236666666667,38.053333333333335,39,847.568,-858.87,0.6666666666666666,1.56,2.97171,0.7180329666666666,246.127,7.051003333333334
15.4-7.10,wt,5,15.71343,0.2619027666666667,2.9623847333333333,2.973333333333333,4,364.32433333333336,-277.6743333333333,0.6666666666666666,1.9466666666666665,2.2489766666666666,0.41980148933333333,27.721950666666665,0.6796928333333333
15.4-7.10,wt,9,4.1906,0.06984346666666666,0.5767606666666667,0.4666666666666666,0.6666666666666666,152.42733333333334,-127.60266666666668,0.3333333333333333,0.12,2.6562333333333332,0.055951747759,6.852504,0.17956946666666668
15.4-7.10,wt,15,123.307,2.05512,24.991866666666667,29.066666666666666,35,827.9413333333333,-565.5686666666667,4.666666666666667,7.24,1.9360633333333332,1.2119566666666666,202.89399999999998,5.464966666666667
16.4-7.10,wt,1,1.6273386666666667,0.02712234666666667,0.2075781,0,0,213.69966666666667,-213.69966666666667,0,0,1.0527353333333334,0.032743181333333336,0.6354712666666666,0.04400211666666667
16.4-7.10,wt,5,45.8024,0.7642136666666667,6.441773333333334,8.1466666666666665,14,517.8676666666667,-577.402,2,12.173333333333334,1.4899066666666667,1.4603666666666666,51.487566666666666,1.7570919999999999
16.4-7.10,wt,9,58.95556666666667,0.9830863333333333,9.160833333333333,12.453333333333333,18,483.738,-395.702,2.6666666666666665,8.48,1.6763333333333335,1.2699433333333334,76.79816666666667,2.385526666666667
16.4-7.10,wt,15,105.01883333333333,1.7503126666666668,20.424526666666665,23.986666666666665,27,907.8576666666667,-590.1003333333333,3,8.026666666666667,1.7341,1.1966633333333334,146.0832,4.24961
17.4-7.10,wt,1,146.68533333333332,2.4447533333333333,30.091633333333334,35.77333333333333,49,1009.3953333333334,-764.5743333333334,1.3333333333333333,2.96,2.5193266666666667,0.8662316666666666,263.8093333333333,6.798163333333333
17.4-7.10,wt,5,66.29343333333333,1.1062393333333334,12.189,14.76,23.666666666666668,569.514,-490.98266666666666,3.3333333333333335,17.613333333333333,1.3325646666666666,0.634301,121.84206666666667,3.026603333333333
17.4-7.10,wt,9,56.026466666666664,0.9342206666666667,8.85971,13.76,21.666666666666668,454.68466666666666,-406.725,1.3333333333333333,4.04,2.208763333333333,0.6932113333333333,88.9874,2.5214733333333332
17.4-7.10,wt,15,4.342456666666667,0.07237426666666666,0.4260773333333333,0.16,0.3333333333333333,208.71366666666665,-184.78333333333333,0,0,2.5635433333333335,0.01895494,2.805626666666667,0.14175656666666667
18.4-7.10,hom,1,11.866343333333333,0.19777273333333334,1.1915473333333333,0.8533333333333334,1.6666666666666667,193.811,-206.822,0,0,2.3284066666666665,0.11216323333333333,5.388383666666667,0.34059490000000003
18.4-7.10,hom,5,76.7527,1.2803066666666667,13.5026,19.066666666666666,31,637.8290000000001,-458.84633333333335,2.6666666666666665,8.08,2.2954333333333334,1.2041413333333333,126.30999999999999,3.448166666666667
18.4-7.10,hom,9,99.09793333333333,1.65214,18.082766666666668,26.04,40.333333333333336,679.9236666666667,-584.3356666666666,3,7.28,2.227203333333333,1.1353843333333333,162.88033333333334,4.441306666666667
18.4-7.10,hom,15,124.42963333333333,2.0738266666666667,21.208766666666666,33.49333333333333,40.666666666666664,670.1253333333333,-479.309,3,5.666666666666667,2.0610333333333335,1.10968,173.48066666666668,5.43052
19.4-7.10,wt,1,166.52,2.7753366666666666,33.9563,39.29333333333334,43.666666666666664,1171.5963333333334,-1207.9486666666667,3.6666666666666665,5.266666666666667,2.3058433333333332,1.1755143333333333,237.81666666666666,7.13546
19.4-7.10,wt,5,87.18809999999999,1.4543199999999998,16.7289,20.64,26.333333333333332,901.2996666666667,-551.237,4.333333333333333,15.146666666666667,1.5665526666666665,1.354054,122.70623333333333,3.6320799999999998
19.4-7.10,wt,9,65.048,1.084486,12.704886666666667,15.36,21.333333333333332,702.8336666666667,-484.95166666666665,2.6666666666666665,7.8,1.8082366666666667,0.986312,105.9541,2.80669
19.4-7.10,wt,15,60.51883333333333,1.0086466666666667,11.827753333333334,13.933333333333334,22.666666666666668,559.438,-473.9406666666667,3.6666666666666665,9.6,1.27609,0.9302243333333333,103.3508,2.61188
