fish_id,Trial,Genotype,Dist_travelled_total.x,Dist_travelled_mean.x,Dist_travelled_var.x,Velocity_mean.x,Velocity_var.x,Time_moving_total.x,Freq_moving.x,Acceleration_max.x,Acceleration_min.x,Acceleration_var.x,Freq_in_middle.x,Time_in_middle_total.x,Time_in_middle_mean.x,Time_in_middle_var.x,Dist_to_middle_total.x,Dist_to_middle_mean.x,Dist_to_middle_var.x,Mobility_total.x,Mobility_mean.x,Mobility_var.x,Meander_total.x,Meander_mean.x,Meander_var.x,Heading_mean.x,Heading_var.x,Dist_travelled_total.y,Dist_travelled_mean.y,Dist_travelled_var.y,Velocity_mean.y,Velocity_var.y,Time_moving_total.y,Freq_moving.y,Acceleration_max.y,Acceleration_min.y,Acceleration_var.y,Freq_in_middle.y,Time_in_middle_total.y,Time_in_middle_mean.y,Time_in_middle_var.y,Dist_to_middle_total.y,Dist_to_middle_mean.y,Dist_to_middle_var.y,Mobility_total.y,Mobility_mean.y,Mobility_var.y,Meander_total.y,Meander_mean.y,Meander_var.y,Heading_mean.y,Heading_var.y
1.3-2.10,13,het,37.43643333333333,0.04159606666666667,0.023179733333333334,0.623938,5.215393333333333,7.2444733333333335,7.666666666666667,290.776,-230.57233333333332,1498.8990000000001,2,16.644016666666666,7.666516666666666,75.59866666666666,1209.5583333333334,1.3439553333333334,1.1961596666666667,2662.0299999999997,2.957806666666667,144.6101,1153.2820000000002,40.13336666666667,7384.546666666667,91.00363333333333,2774.9,122.2179,0.135895,0.0842304,2.038413333333333,18.951666666666668,38.17706666666667,19.333333333333332,385.2703333333333,-308.51433333333335,6296.8133333333335,4.333333333333333,10.955613333333334,2.4911233333333334,1.5740393333333333,1686.1433333333334,1.8742366666666666,1.6940033333333333,8612.933333333334,9.57695,410.46666666666664,5046.26,52.51886666666667,7944.27,135.702,3051.3866666666668
1.3-2.10,17,het,96.36573333333332,0.10707306666666666,0.08400856666666667,1.6060866666666667,18.901766666666667,23.822336666666665,15.666666666666666,563.611,-414.305,5141.383333333333,5,13.978036666666668,2.79561,7.450053333333333,1168.0466666666666,1.29783,1.0861846666666666,6199.593333333333,6.88844,323.574,1348.0133333333333,19.108266666666665,532.189,101.54426666666666,2946.5266666666666,167.17766666666668,0.18588566666666667,0.12474600000000001,2.788273333333333,28.067500000000003,47.88883333333333,18,534.03,-414.6116666666667,9271.263333333332,3.6666666666666665,11.355613333333334,3.6411266666666666,3.673690333333333,2079.1033333333335,2.3108733333333333,1.8584333333333332,11088.533333333333,12.3299,511.191,6870.12,48.81463333333333,10921.286666666667,120.59336666666667,3094.7066666666665
10.3-2.10,13,hom,164.02733333333333,0.18225233333333332,0.110636,2.7337766666666665,24.892866666666666,49.57756666666666,17.666666666666668,387.78433333333334,-330.3316666666667,6866.833333333333,5.333333333333333,9.711376666666666,1.8244966666666667,0.7551413333333333,1438.6066666666668,1.59845,1.0531926666666667,11045.733333333334,12.273066666666667,548.8743333333333,3171.0066666666667,21.8476,3949.0330000000004,100.18743333333333,3140.496666666667,138.94466666666665,0.15448699999999999,0.08285486666666667,2.317293333333333,18.642133333333334,46.44376666666667,19,413.2953333333333,-316.0013333333333,6094.906666666667,8.666666666666666,18.6001,2.1744566666666665,2.7656,1147.5333333333333,1.2755566666666667,1.3414033333333333,10734.073333333334,11.9349,535.0563333333333,5488.74,46.017266666666664,6288.243333333334,104.10679999999999,3136.64
10.3-2.10,17,hom,152.66266666666667,0.16962566666666667,0.099276,2.5443700000000002,22.336866666666666,47.6666,18,342.8953333333333,-296.8426666666667,6292.323333333334,5.666666666666667,8.577813333333333,1.4807483333333333,0.7541303333333333,1539.7066666666667,1.71078,1.2116966666666666,10106.983333333334,11.229966666666666,482.89366666666666,3497.3033333333333,26.6677,6325.914333333333,129.79696666666666,3087.8333333333335,156.14866666666666,0.173621,0.09554446666666666,2.6043,21.4973,50.7342,15.333333333333334,369.11,-339.139,7121.573333333334,4,9.200053333333333,2.27779,1.7429306666666666,1614.2133333333334,1.7942466666666665,1.19352,11325.8,12.593466666666666,505.23466666666667,10184.153333333334,72.60686666666666,20787.223333333335,70.49689,3065.9933333333333
11.3-2.10,13,het,62.19035,0.0691006,0.06835135,1.036503,15.378919999999999,9.900045,3,503.011,-326.64099999999996,3516.8599999999997,3,22.16722,10.033605,303.036685,923.504,1.0261175,0.7849135,4276.87,4.752075,250.7359,2260.231,41.835300000000004,2438.325,52.30453,2674.31,162.96663333333333,0.18121906666666665,0.10932683333333333,2.7182766666666667,24.598266666666667,43.59993333333333,16,401.497,-390.34666666666664,7433.65,4.666666666666667,6.110243333333333,0.9317566666666667,0.6706516666666666,2049.76,2.2782733333333334,1.040893,11792.78,13.11359,506.8283333333333,9726.046666666667,71.56763333333333,19577.74,104.37346666666666,3027.423333333333
11.3-2.10,17,het,0.569067,6.32297e-4,1.79859e-4,0.00948441,0.0404679,0,0,65.8635,-65.8635,18.2509,0,0,0,0,2996.84,3.32982,9.01628e-4,41.5521,0.046169,0.960886,0,0,0,123.023,3207.73,170.0685,0.18896449999999998,0.11221295,2.834455,25.24765,43.96805,11.5,512.832,-458.058,7852.5,5.5,7.86761,1.3596599999999999,1.2882845,1865.545,2.072825,1.206605,12124.57,13.4717,506.106,10389.66,65.6285,11798,124.733,3234.24
12.3-2.10,13,wt,201.234,0.223593,0.14337866666666665,3.35388,32.2599,52.888466666666666,12.333333333333334,558.2886666666667,-566.9206666666666,9553.97,4.333333333333333,8.82225,1.8859353333333333,5.789842666666666,1878.9143333333334,2.0876833333333336,1.127618,13783.133333333333,15.314599999999999,645.6053333333333,4668.213333333333,27.5364,3250.16,73.09436666666667,3135.84,158.21640000000002,0.1759318,0.10765646666666667,2.6389566666666666,24.222433333333335,41.26596666666667,10,444.21233333333333,-443.0656666666667,8623.33,1.6666666666666667,4.40002,3.3333500000000003,0.4814866666666667,2363.963333333333,2.6276466666666667,1.2368936666666668,10443.683333333334,11.612986666666666,428.873,7614.046666666666,61.04906666666667,12906.933333333334,71.8652,2902.403333333333
12.3-2.10,17,wt,120.27166666666666,0.133635,0.07219,2.0045166666666665,16.242566666666665,38.40036666666666,16.333333333333332,416.6653333333333,-335.1306666666667,5385.613333333334,3.3333333333333335,7.288926666666667,2.21853,0.308645,1603.9133333333334,1.7821266666666666,1.066956,8196.2,9.106883333333334,371.6286666666667,5087.8966666666665,51.1014,10505.913333333334,108.43260000000001,3092.6800000000003,181.60233333333332,0.20192666666666667,0.10637206666666667,3.0288866666666667,23.933466666666668,51.021566666666665,8.333333333333334,446.32366666666667,-372.832,8363.143333333333,5.333333333333333,23.111833333333333,6.222546666666666,33.280296666666665,1386.1326666666666,1.54056,2.1981933333333332,11853.69,13.180833333333334,456.1636666666667,7453.073333333334,47.91696666666667,6874.496666666666,106.06689999999999,3120.4133333333334
13.3-2.10,13,hom,235.25866666666667,0.26139866666666667,0.18578766666666666,3.92096,41.8018,53.59996666666667,11,569.9526666666667,-444.44100000000003,11873.133333333333,3.3333333333333335,2.46688,0.7833886666666667,0.2813366666666667,2739.4,3.04378,1.1684133333333333,15607.166666666666,17.3413,755.1866666666667,6587.0233333333335,32.0138,4375.983333333334,88.0194,3138.9366666666665,166.60133333333334,0.18526900000000002,0.11769543333333334,2.77902,26.4812,46.088233333333335,15,499.92466666666667,-444.351,8273.553333333333,3,3.7783966666666666,1.249017,0.7306692666666667,2581.0833333333335,2.868936666666667,1.5377643333333335,10656.106666666667,11.84995,471.124,5342.626666666667,36.9036,6015.68,164.768,3168.8433333333332
13.3-2.10,17,hom,225.409,0.25045433333333333,0.21401033333333333,3.756796666666667,48.1518,47.88883333333333,13.666666666666666,904.5516666666666,-738.4346666666667,14457.266666666666,2.6666666666666665,2.955566666666667,1.3055626666666666,0.339633,2944.4666666666667,3.2716333333333334,1.0694973333333333,14126.866666666667,15.696566666666667,681.509,5904.366666666667,33.41173333333333,4049.6133333333332,104.9414,3115.6766666666667,149.81066666666666,0.16658433333333333,0.10094786666666666,2.4987533333333336,22.7131,40.954166666666666,16,393.8296666666667,-336.3063333333333,7276.096666666666,1.6666666666666667,2.2672783333333335,1.1887953333333332,1.636151,2995.11,3.329196666666667,0.7748566666666667,9053.22,10.0668,358.9803333333333,5795.62,47.347766666666665,10746.503333333332,71.27013333333333,3143.0266666666666
