fish_id,Family,Trial,Genotype,Dist_travelled_total,Dist_travelled_mean,Dist_travelled_var,Velocity_mean,Velocity_var,Time_moving_total,Freq_moving,Acceleration_max,Acceleration_min,Acceleration_var,Freq_in_middle,Time_in_middle_total,Time_in_middle_mean,Time_in_middle_var,Dist_to_middle_total,Dist_to_middle_mean,Dist_to_middle_var,Mobility_total,Mobility_mean,Mobility_var,Meander_total,Meander_mean,Meander_var,Heading_mean,Heading_var,Dist_travelled_total.dark,Dist_travelled_mean.dark,Dist_travelled_var.dark,Velocity_mean.dark,Velocity_var.dark,Time_moving_total.dark,Freq_moving.dark,Acceleration_max.dark,Acceleration_min.dark,Acceleration_var.dark,Freq_in_middle.dark,Time_in_middle_total.dark,Time_in_middle_mean.dark,Time_in_middle_var.dark,Dist_to_middle_total.dark,Dist_to_middle_mean.dark,Dist_to_middle_var.dark,Mobility_total.dark,Mobility_mean.dark,Mobility_var.dark,Meander_total.dark,Meander_mean.dark,Meander_var.dark,Heading_mean.dark,Heading_var.dark
1.2-6.10,6.10,1,wt,126.01263333333333,0.08400843333333333,0.06127113333333333,2.10021,38.294466666666665,28.013333333333332,41.333333333333336,1776.1866666666667,-1114.1750000000002,20735.666666666668,3,5.946666666666667,2.0544433333333334,3.6172866666666668,2989.9266666666667,1.9932800000000002,1.0093763333333334,9073.363333333333,6.0489033333333335,276.3993333333333,4841.446666666667,42.3937,12824.853333333334,82.33133333333333,3044.016666666667,109.41703333333334,0.072971,0.03861026666666667,1.82427,24.131433333333334,28.37333333333333,35.333333333333336,1364.235,-938.3586666666666,16777.833333333332,2,7.413333333333333,2.4711133333333333,22.72301,3015.6833333333334,2.010884,0.6530305000000001,8218.756666666666,5.48112,207.964,6471.36,56.596799999999995,12926.16,99.11410000000001,2977.33
1.2-6.10,6.10,4,wt,34.418765,0.022948912000000002,0.015482899666666666,0.5737229666666667,9.6768078,7.146666666666667,12.333333333333334,621.3316666666666,-534.8463333333333,4942.976333333334,1.3333333333333333,7.8933333333333335,4.08889,2.70631,3379.833333333333,2.2537533333333335,0.8974798766666667,2684.2484666666664,1.7897390666666666,91.83642,716.2796666666667,27.84466666666667,904.5236666666667,99.41726666666666,2639.88,90.07996666666666,0.06010086666666667,0.035243866666666665,1.50252,22.027433333333335,21.013333333333332,28.666666666666668,1123.6303333333333,-841.091,13518.633333333333,3.6666666666666665,8.306666666666667,2.052,3.9527900000000002,2694.4133333333334,1.7972566666666667,1.1634966666666666,6914.86,4.6136566666666665,205.00233333333333,6112.6,66.33203333333333,18308.5,124.50083333333333,2981.1466666666665
1.2-6.10,6.10,7,wt,3.2739103333333333,0.0021826046666666666,0.0011424020333333333,0.054565293333333334,0.714,0.38666666666666666,0.3333333333333333,454.46233333333333,-336.23400000000004,569.0776666666667,0,0,0,0,3013.9456666666665,2.009297,0.38319711,217.35093333333336,0.14490053333333333,5.689630999999999,224.46266666666668,28.0578,3240.0066666666667,86.6504,1111.4054,71.2227,0.04750666666666667,0.023254566666666667,1.1876666666666666,14.5341,19.16,26.333333333333332,1179.1343333333334,-646.1353333333334,10202.303333333333,5,14.959999999999999,3.466666666666667,4.641443333333333,1617.39,1.0784216666666666,1.0982303333333334,5646.683333333333,3.7665333333333333,149.50966666666667,4724.626666666667,58.9516,11398.316666666666,103.42143696666668,3113.3633333333332
1.2-6.10,6.10,10,wt,1.321488,8.812133333333333e-4,2.0668433333333335e-4,0.022030333333333332,0.1291777,0,0,114.658,-114.658,141.80716666666666,0,0,0,0,4431.5599999999995,2.9550366666666665,0.0037368040001561327,52.0861,0.034730166666666666,0.3647742333333333,505.33,252.66566666666665,1810.6366666666665,52.3759,1098.1314333333335,44.0076,0.029357750000000002,0.012974699999999999,0.7339435000000001,8.109185,8.3,14,601.0055,-572.338,5962.205,1.5,15.219999999999999,7.869999999999999,11.4244,1945.19,1.297418,0.969635,3504.08,2.337535,97.10555,2135.35,51.51975,5202.985,131.3475,2820.465
10.2-6.10,6.10,1,hom,6.717362666666667,0.004478240666666667,0.0017973149999999999,0.11195603333333334,1.1233231666666668,1.0533333333333335,2,370.7146666666667,-394.2366666666667,884.3487666666666,0,0,0,0,3360.2200000000003,2.2401466666666665,0.41017797266666667,551.9121666666666,0.3679404333333333,15.736109,575.7633333333333,31.986766666666668,7697.566666666667,80.7002,2618.5533333333333,83.49576666666667,0.05569616666666667,0.03322326666666667,1.392403,20.764533333333333,18.78666666666667,27.333333333333332,1040.7923333333333,-934.028,14274.633333333333,2.6666666666666665,3.0933333333333337,0.6044433333333333,1.16537,2996.8333333333335,1.99843,0.742782,5912.84,3.94411,170.31633333333332,9068.603333333333,111.26466666666666,39317.2,47.4536,3038.82
10.2-6.10,6.10,4,hom,3.928402666666667,0.002619645,7.630055e-4,0.06549124333333334,0.4768769333333333,0,0,234.83966666666666,-227.12433333333334,470.7536,0,0,0,0,3117.9766666666665,2.0791233333333334,0.14257725023333334,249.22660000000002,0.1661933,4.069589,256.485,146.88186666666667,572.3766666666667,37.082103333333336,1978.07,85.15163333333334,0.05681786666666667,0.0398049,1.4204433333333333,24.878033333333335,18.426666666666666,25.666666666666668,1389.02,-990.1873333333333,16808.733333333334,5,8.906666666666666,2.1072233333333332,3.9156299999999997,2332.37,1.55578,1.2900233333333333,6031.76,4.024663333333334,184.72533333333334,3625.2,48.85596666666667,10095.063333333334,112.999,3095.3066666666664
10.2-6.10,6.10,7,hom,0.38012333333333337,2.534153333333333e-4,7.732e-5,0.006335400000000001,0.048325,0,0,86.61133333333333,-54.655,41.60933333333333,0,0,0,0,2099.26,1.39951,0.047780666666666666,37.848,0.025232033333333334,1.6194333333333333,78.651,78.651,0,30.39616666666667,149.94433333333333,34.485,0.0230069,0.01628536,0.575173,10.178355,6.26,10.5,918.434,-601.9984999999999,6695.210000000001,2.5,22.2,8.42665,62.379599999999996,1645.995,1.0977000000000001,1.45369,2319.355,1.54726,72.92054999999999,1209.817,43.2078,11582.340999999999,62.1019,2454.3
10.2-6.10,6.10,10,hom,1.2072066666666668,8.048066666666667e-4,1.9885633333333332e-4,0.020120100000000002,0.12428533333333333,0,0,130.632,-130.632,124.36133333333333,0,0,0,0,4187.993333333333,2.792613333333333,0.0017485633333333334,94.00766666666668,0.06267173333333334,1.88182,449.7434666666667,241.21880000000002,27084.033333333336,60.99786666666667,1317.8666666666666,91.8041,0.0612157,0.030774533333333333,1.530389,19.23406,20.466666666666665,19,924.27,-623.805,13229.94,2,9.813333333333333,5.157776666666667,19.3615,2843.75,1.8961766666666666,1.1840266666666666,6152.64,4.1027,146.68686666666667,6173.2953333333335,51.85726666666667,12175.482333333333,131.79533333333333,2996.18
11.2-6.10,6.10,1,hom,1.3890666666666667,9.260466666666667e-4,2.48427e-4,0.023151133333333334,0.155267,0.12,0.3333333333333333,141.362,-133.67066666666668,150.54233333333335,0,0,0,0,2671.44,1.7809566666666667,0.07268133333333333,91.99633333333334,0.061330866666666664,1.7118033333333333,71.15976666666667,49.30833333333333,336.7966666666667,26.0049,509.4273333333333,48.95676666666667,0.03265386666666667,0.016190346666666668,0.8163486666666667,10.118946666666666,13.253333333333334,23.333333333333332,724.4616666666667,-479.81,5058.389999999999,5,27.12,10.20857,3.1861200000000003,1196.1676666666667,0.797693,0.6146586666666667,4083.566666666667,2.7236866666666666,126.27836666666667,2418.368,35.980066666666666,3903.0633333333335,67.61633333333333,3192.5433333333335
11.2-6.10,6.10,4,hom,0.38147233333333336,2.5450533333333335e-4,5.91937e-5,0.0063626333333333335,0.03699606666666667,0,0,107.359,-107.359,46.338166666666666,0,0,0,0,4879.513333333333,3.2537166666666666,0.0032966733333333336,14.241633333333333,0.009503233333333333,0.13078420000000002,0,0,0,87.36,348.9506666666666,21.607033333333334,0.014411926666666667,0.007416746666666666,0.36029833333333333,4.635466666666667,5.213333333333333,9.333333333333334,682.0896666666666,-452.133,2798.23,1.6666666666666667,8.013333333333334,2.3533333333333335,5.861866666666667,1434.732,0.9567043333333334,0.5355538333333334,1756.8573333333334,1.1717406666666665,57.49483333333333,898.7536666666667,38.94193333333334,3763.539333333333,84.06753333333333,2708.6266666666666
11.2-6.10,6.10,7,hom,16.662607666666666,0.011108393999999999,0.005392049733333333,0.27771036666666665,3.3700381666666663,3.5999999999999996,7.333333333333333,363.505,-312.6646666666667,1921.9181666666668,0.6666666666666666,1.4133333333333333,0.7066666666666667,0.10666666666666667,3361.8933333333334,2.24126,0.4523040933333333,1394.7838333333334,0.9298546666666666,43.87385233333333,816.794,26.769233333333332,1440.0333333333333,69.28646666666667,2286.1,24.827133333333332,0.0165709,0.010139363333333333,0.41427166666666665,6.3371233333333326,5.746666666666666,9.666666666666666,597.3516666666667,-790.9266666666667,3954.523333333333,0,0,0,0,3776.2633333333333,2.5179133333333334,0.5397103333333333,2045.5383333333334,1.3653353333333333,66.03226666666667,1193.5496666666666,61.9661,25622.97,53.50236666666667,1853.1933333333334
