fish_id,Genotype,Position,Tray,Trial,Time,Bin,Distance_travelled,Velocity_mean,Velocity_var,Time_moving,Freq_moving,Acceleration_max,Acceleration_min,Freq_in_middle,Time_in_middle,Dist_to_middle_mean,Dist_to_middle_var,Mobility_var,Mobility_mean
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,4,1.22734,0.0204557,0.12996,0,0,211.352,-211.352,0,0,0.476051,0.013552,0.507606,0.0331664
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,5,83.7326,1.39741,17.6076,23.52,33,1507.36,-680.873,8,17.36,0.715625,0.656671,192.26,4.671
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,6,67.0366,1.11728,11.7557,19.76,26,934.863,-479.348,4,11.32,1.30787,1.19968,121.303,3.43158
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,7,62.8989,1.04831,14.239,14.2,20,1095.18,-778.185,3,16.2,1.21177,1.43834,134.966,3.19702
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,8,77.8488,1.29921,19.4371,15.08,25,1106.62,-1413.62,6,23.8,0.96038,1.28599,171.661,3.95245
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,9,88.0051,1.46675,18.901,20.92,28,942.445,-566.237,5,11,1.72875,1.35637,170.82,4.15733
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,10,27.1272,0.452121,4.11796,3.16,6,488.594,-454.605,1,2.16,2.66165,0.47266,30.2732,1.14455
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,11,36.438,0.60811,44.5689,2.16,2,2954.61,-2421.83,0,0,2.60397,0.141961,60.8347,0.967198
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,12,1.46968,0.0245274,0.151817,0,0,186.54,-186.54,0,0,2.54613,0.00466773,0.749775,0.0474622
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,13,2.18337,0.0363894,0.263571,0,0,247.507,-247.507,0,0,2.53763,0.0140616,2.42075,0.101979
1.2-6.10,wt,A1,5,7,1899-12-31T09:03:00Z,14,13.7039,0.228398,2.01694,2.28,4,535.996,-271.357,1,2.76,2.14695,1.09098,22.5884,0.689169
1.2-6.10,wt,A1,5,10,1899-12-31T10:41:00Z,0,0.951679,0.0159571,0.0951573,0,0,157.262,-157.262,0,0,3.00729,1.91695e-4,2.713,0.0849542
1.2-6.10,wt,A1,5,10,1899-12-31T10:41:00Z,1,4.10227,0.0683711,0.50671600000000006,0.44,1,405.149,-275.764,0,0,3.00775,0.00291695,8.43242,0.280538
1.2-6.10,wt,A1,5,10,1899-12-31T10:41:00Z,2,3.22192,0.0536987,0.310043,0,0,169.911,-169.911,0,0,2.82891,5.60912e-4,0.998439,0.0907183
1.2-6.10,wt,A1,5,10,1899-12-31T10:41:00Z,3,0.742544,0.0123923,0.0774901,0,0,174.063,-174.063,0,0,2.97921,0.0106495,0.0958837,0.0134722
1.2-6.10,wt,A1,5,10,1899-12-31T10:41:00Z,4,0,0,0,0,0,0,0,0,0,3.05699,4.68399e-13,0,0
1.2-6.10,wt,A1,5,10,1899-12-31T10:41:00Z,5,41.8953,0.698255,12.1646,6.92,13,989.107,-909.668,2,5.16,1.04001,0.610857,106.215,2.11213
1.2-6.10,wt,A1,5,10,1899-12-31T10:41:00Z,6,43.3898,0.72413,8.31004,9.44,13,635.179,-697.582,1,1.04,1.85802,0.980899,90.0941,2.22463
1.2-6.10,wt,A1,5,10,1899-12-31T10:41:00Z,7,44.6254,0.743757,7.90833,7.16,15,566.832,-447.094,2,29.4,0.736816,0.958371,104.117,2.45044
