fish_id,Genotype,Position,Tray,Trial,Time,Bin,Distance_travelled,Velocity_mean,Velocity_var,Time_moving,Freq_moving,Acceleration_max,Acceleration_min,Freq_in_middle,Time_in_middle,Dist_to_middle_mean,Dist_to_middle_var,Mobility_var,Mobility_mean
1.4-7.10,het,C1,7,4,1899-12-31T08:29:00Z,0,23.7528,0.397736,5.4593,2.56,3,722.714,-722.714,0,0,2.60549,0.0489639,86.1338,1.38593
1.4-7.10,het,C1,7,4,1899-12-31T08:29:00Z,1,7.47147,0.124525,0.762499,0.8,2,288.892,-175.422,0,0,2.45657,0.00955659,1.44926,0.159839
1.4-7.10,het,C1,7,4,1899-12-31T08:29:00Z,2,2.07319,0.0345532,0.178233,0,0,138.838,-138.838,0,0,2.55409,0.00405171,0.212148,0.0333929
1.4-7.10,het,C1,7,4,1899-12-31T08:29:00Z,3,0.434515,0.00725158,0.0393797,0,0,138.811,-138.811,0,0,2.56843,9.11392e-5,0.086921,0.00873001
1.4-7.10,het,C1,7,4,1899-12-31T08:29:00Z,4,0,0,0,0,0,0,0,0,0,2.57536,3.8831e-13,0,0
1.4-7.10,het,C1,7,4,1899-12-31T08:29:00Z,5,86.2608,1.43768,13.9733,18.6,29,720.46,-441.973,9,32.92,0.358369,0.379879,274.54,5.87491
1.4-7.10,het,C1,7,4,1899-12-31T08:29:00Z,6,113.043,1.88656,16.8087,35.52,35,563.764,-671.326,4,12.72,1.40092,1.23088,207.616,6.10552
1.4-7.10,het,C1,7,4,1899-12-31T08:29:00Z,7,144.211,2.40833,24.2666,37.6,33,685.245,-767.083,4,8.08,2.06993,1.95522,278.782,7.84138
1.4-7.10,het,C1,7,4,1899-12-31T08:29:00Z,8,146.16,2.436,28.3015,35.76,46,1296.67,-578.025,10,15.84,1.3218,1.50512,310.07,7.68828
1.4-7.10,het,C1,7,4,1899-12-31T08:29:00Z,9,128.537,2.14229,23.6501,32.92,42,1131.75,-580.511,4,9.32,1.78118,1.15799,243.766,6.3206
1.4-7.10,het,C1,7,4,1899-12-31T08:29:00Z,10,24.9378,0.416185,3.87385,5.84,12,448.778,-342.862,0,0,2.20179,0.988234,33.822,1.08302
1.4-7.10,het,C1,7,4,1899-12-31T08:29:00Z,11,9.67557,0.161583,1.45807,1.92,4,386.547,-362.071,0,0,3.57314,0.133012,20.6538,0.472677
1.4-7.10,het,C1,7,4,1899-12-31T08:29:00Z,12,0.819382,0.0136564,0.0698597,0,0,134.687,-134.687,0,0,3.8504,0.00701801,0.155262,0.0193655
1.4-7.10,het,C1,7,4,1899-12-31T08:29:00Z,14,23.4533,0.390888,17.0092,1.68,3,2166.73,-1719.27,0,0,3.55326,0.104581,38.3296,0.778658
1.4-7.10,het,C1,7,8,1899-12-31T10:21:00Z,0,17.7236,0.296977,1.4438,3.56,4,145.502,-145.502,0,0,2.83049,0.00659383,23.3783,1.08328
1.4-7.10,het,C1,7,8,1899-12-31T10:21:00Z,1,1.73923,0.0290258,0.158875,0,0,173.205,-173.205,0,0,2.746,0.00157777,0.433121,0.0423571
