"","fish_id","Genotype","Position","Trial","Tray","Bin","Distance_travelled","Velocity_mean","Velocity_var","Time_moving","Freq_moving","Acceleration_max","Acceleration_min","Acceleration_mean","Acceleration_var","Freq_in_middle","Time_in_middle","Dist_to_middle_total","Dist_to_middle_mean","Dist_to_middle_var","Mobility_total","Mobility_mean","Mobility_var"
"407",69,"het","D3","7",3,"0:20:00-0:25:00",190.508,0.635306,"8.27035",44.8062,22,996.153,-801.138,0.01921,"2280.88",3,228.733,2714.79,0.603422,"1.25618",9658.17,2.14722,"79.6232"
"408",69,"het","D3","7",3,"0:25:00-0:30:00",709.253,2.36521,"24.3534",172.125,202,664.233,-700.757,-0.0212411,"7117.26",13,47.2077,9579.87,2.12933,"1.61929",40583.9,9.02266,"348.247"
"409",70,"het","D4","7",3,"Start-0:05:00",643.143,2.14666,"23.0453",153.734,168,767.047,-634.424,0.0425336,"6182.38",12,24.7335,8213.36,1.82641,"0.839844",41064.9,9.13773,"409.049"
"410",70,"het","D4","7",3,"0:05:00-0:10:00",744.982,2.48437,"24.0765",192.868,178,574.846,-476.088,-0.0295276,"7729.8",17,48.7336,7828.47,1.74005,"1.14043",48565.6,10.7972,"433.173"
"411",70,"het","D4","7",3,"0:10:00-0:15:00",481.77,1.6066,"21.0151",100.401,110,856.937,-942.055,-7.58418e-17,"5491.39",10,37.2669,10353.1,2.3012,"1.48853",26904.2,5.98136,"270.179"
"412",70,"het","D4","7",3,"0:15:00-0:20:00",731.902,2.43966,"27.6711",170.262,176,628.728,-633.894,0.0150289,"8890.8",9,44.2002,8204.37,1.82319,"1.15018",44688.4,9.93076,"421.518"
"413",70,"het","D4","7",3,"0:20:00-0:25:00",643.504,2.14596,"26.1201",142.999,150,1029.56,-864.274,0.0250777,"7100.84",20,57.267,7848.38,1.74447,"1.31549",36912.8,8.20648,"360.971"
"414",70,"het","D4","7",3,"0:25:00-0:30:00",1010.23,3.36892,"44.2866",209.266,182,883.731,-697.016,0.0145534,"13555",6,29.5335,10281,2.28518,"0.87132",59982.2,13.3353,"613.4"
"415",71,"wt","D5","7",3,"Start-0:05:00",665.101,2.21995,"24.8624",151.601,138,673.452,-513.07,-0.000638026,"6652.8",4,9.46671,9277.12,2.06296,"1.01895",43464,9.67156,"439.967"
"416",71,"wt","D5","7",3,"0:05:00-0:10:00",1041.67,3.47377,"27.7643",249.201,121,489.255,-514.332,0.0174169,"8488.04",22,37.5335,9109.2,2.02472,"1.17028",70053.1,15.5743,"539.25"
"417",71,"wt","D5","7",3,"0:10:00-0:15:00",145.311,0.484584,"9.3274",25.6668,27,785.69,-699.396,1.01122e-16,"2590.93",0,0,15780,3.50745,"0.130509",7765.59,1.72645,"90.0971"
"418",71,"wt","D5","7",3,"0:15:00-0:20:00",927.232,3.09076,"26.7968",232.062,145,690.04,-912.257,0.0115034,"7965.27",25,59.6003,7353.5,1.63411,"1.27406",59363.7,13.1919,"479.679"
"419",71,"wt","D5","7",3,"0:20:00-0:25:00",225.521,0.752068,"19.9591",32.3395,31,1282.81,-1061.26,-0.011511,"5708.29",0,0,14754.4,3.27948,"0.0219101",10709.5,2.38096,"128.289"
"420",71,"wt","D5","7",3,"0:25:00-0:30:00",909.518,3.03306,"25.5242",220.725,145,524.289,-456.349,0.0101671,"7880.53",22,63.1336,7806.96,1.73527,"1.54427",56317.4,12.5205,"438.905"
"421",72,"hom","D6","7",3,"Start-0:05:00",399.415,1.33315,"12.6441",94.8005,135,857.699,-1026.69,7.27626e-17,"3462.95",20,131.334,3818.3,0.849077,"0.874643",25067.4,5.57796,"240.413"
"422",72,"hom","D6","7",3,"0:05:00-0:10:00",987.612,3.29349,"30.0666",248.465,117,580.187,-681.741,-0.0252964,"10271.7",18,53.0669,9064.4,2.01476,"1.5308",61197.2,13.6054,"468.408"
"423",72,"hom","D6","7",3,"0:10:00-0:15:00",372.468,1.24211,"15.3696",80.7322,115,771.566,-577.211,6.32015e-17,"4270.24",14,97.396,6686.25,1.48616,"2.07662",20914.9,4.64982,"206.691"
"424",72,"hom","D6","7",3,"0:15:00-0:20:00",892.142,2.97379,"27.2551",230.139,165,744.964,-644.175,-6.31594e-17,"9393.31",16,28.932,9730.64,2.16236,"1.08054",54241.3,12.0536,"421.438"
"425",72,"hom","D6","7",3,"0:20:00-0:25:00",179.196,0.597583,"5.43769",34.3335,54,447.415,-447.415,-2.52806e-17,"1560.91",7,148.533,3629,0.806624,"1.46626",10929.8,2.42992,"103.414"
"426",72,"hom","D6","7",3,"0:25:00-0:30:00",779.881,2.60075,"24.6791",204.334,178,1198.18,-1035.32,0.0135712,"8220.38",9,42.0744,10158.4,2.25792,"1.32031",46922.6,10.4319,"343.625"
"427",73,"hom","A1","8",4,"Start-0:05:00",524.159,1.74952,"16.9284",114.066,33,628.116,-514.096,6.01082e-17,"4112.4",11,72.467,6392.01,1.42139,"1.89275",45506.3,10.126,"493.221"
"428",73,"hom","A1","8",4,"0:05:00-0:10:00",1244.54,4.1503,"30.758",253.736,59,861.691,-807.846,0.0194927,"8792.46",17,22.3334,11109.3,2.46929,"0.924344",100612,22.3682,"724.552"
"429",73,"hom","A1","8",4,"0:10:00-0:15:00",108.126,0.360578,"7.80239",15.6667,10,1149.61,-858.223,-2.52806e-17,"1787.9",2,20.7289,7915.99,1.7595,"1.08611",7048.5,1.56703,"92.063"
"430",73,"hom","A1","8",4,"0:15:00-0:20:00",1277.91,4.25967,"34.4336",249.068,40,1171.65,-1061.85,0.0147472,"9654",15,11.5379,11736.7,2.60815,"0.651351",99469,22.1042,"721.768"
"431",73,"hom","A1","8",4,"0:20:00-0:25:00",180.21,0.600966,"4.49575",24.6668,11,326.177,-267.782,-0.0147571,"1130.47",1,0.066667,12815.4,2.84851,"0.0338507",13444,2.98888,"114.588"
"432",73,"hom","A1","8",4,"0:25:00-0:30:00",1039.24,3.46567,"26.6703",213.592,61,908.431,-949.75,0.0479659,"6973.38",11,15.6667,10581.7,2.352,"0.666824",83298.3,18.519,"616.765"
"433",74,"het","A2","8",4,"Start-0:05:00",198.508,0.662575,"7.30146",41.0002,61,498.822,-476.452,2.84723e-17,"1945.51",9,49.3321,6410.66,1.42554,"0.908334",15507.3,3.45068,"196.601"
"434",74,"het","A2","8",4,"0:05:00-0:10:00",507.339,1.69187,"22.48",117.931,164,1192.44,-1146.19,0.0444949,"5887.66",18,58.7321,9108.52,2.02457,"1.68037",35916.9,7.98509,"393.464"
"435",74,"het","A2","8",4,"0:10:00-0:15:00",31.1255,0.103797,"1.41979",4.60302,7,519.246,-403.152,-0.0444949,"350.386",1,0.269668,14567.3,3.23789,"0.0236228",1962.45,0.436293,"27.2777"
"436",74,"het","A2","8",4,"0:15:00-0:20:00",212.849,0.709494,"8.11338",46.7336,73,658.774,-467.793,2.52637e-17,"2011.97",7,35.2002,9700.32,2.15563,"1.25794",14290.3,3.17562,"157.334"
"437",74,"het","A2","8",4,"0:20:00-0:25:00",19.0133,0.0634055,"0.554776",2.40001,3,375.624,-305.409,-2.68606e-17,"190.392",0,0,15813.2,3.51483,"0.00682272",1100.23,0.244605,"11.6428"
"438",74,"het","A2","8",4,"0:25:00-0:30:00",323.445,1.07862,"10.5422",81.8004,128,582.136,-460.128,-0.0314172,"2820.88",11,59.5336,7718.68,1.71564,"1.39733",23067.3,5.12834,"252.457"
"439",75,"het","A3","8",4,"Start-0:05:00",262.833,0.877274,"8.32681",57.5336,72,522.307,-389.803,-1.89816e-17,"2251.79",12,65.8003,6114.22,1.35962,"1.05786",20679.1,4.60148,"225.123"
"440",75,"het","A3","8",4,"0:05:00-0:10:00",930.233,3.10214,"34.1898",209.734,180,749.123,-708.491,0.0272938,"9702.56",23,33.6002,10120.9,2.24958,"1.27295",69416.7,15.4328,"741.624"
"441",75,"het","A3","8",4,"0:10:00-0:15:00",330.298,1.10148,"22.187",58.067,52,1107.82,-1048.61,-0.0272938,"5557.18",2,1.13334,14142.6,3.14349,"0.288012",20749.3,4.61301,"289.718"
"442",75,"het","A3","8",4,"0:15:00-0:20:00",770.537,2.56844,"35.2332",171.868,184,1079.36,-725.262,2.52637e-17,"10792.2",8,22.0668,10652.4,2.3672,"1.09181",53061.7,11.7915,"617.337"
"443",75,"het","A3","8",4,"0:20:00-0:25:00",50.0478,0.166899,"2.72389",10.0001,10,586.659,-450.412,3.16007e-18,"652.061",0,0,14358.1,3.19139,"0.0391862",3435.94,0.763882,"49.9987"
"444",75,"het","A3","8",4,"0:25:00-0:30:00",514.089,1.71438,"23.7619",117.125,153,767.347,-586.358,0.0347629,"6603.98",9,26.6001,10252.4,2.27881,"1.52956",33966.2,7.55139,"403.205"
"445",76,"het","A4","8",4,"Start-0:05:00",196.713,0.656582,"6.52452",36.8002,48,558.437,-348.383,-1.89816e-17,"1677.67",7,38.4002,7293.52,1.62186,"0.913628",16119,3.58677,"191.217"
"446",76,"het","A4","8",4,"0:05:00-0:10:00",575.733,1.91995,"17.0517",152.401,179,623.891,-434.508,0.0386625,"5019.35",20,57.6003,9041.57,2.00969,"1.82384",46259.2,10.2844,"462.568"
"447",76,"het","A4","8",4,"0:10:00-0:15:00",147.522,0.491955,"10.2654",29.4001,38,1505.01,-1155.18,-0.0251896,"3213.32",0,0,12654.3,2.81268,"0.253782",9257.06,2.05804,"127.892"
"448",76,"het","A4","8",4,"0:15:00-0:20:00",622.471,2.07489,"26.6513",149.267,177,677.632,-580.403,-7.89492e-17,"8273.21",9,33.1335,11551.7,2.56705,"1.54897",43081.5,9.57366,"484.49"
"449",76,"het","A4","8",4,"0:20:00-0:25:00",69.583,0.232148,"3.81262",12.8667,17,717.518,-571.523,0.0824253,"959.663",1,0.133334,14442.2,3.2108,"0.891644",4358.05,0.969318,"56.9196"
"450",76,"het","A4","8",4,"0:25:00-0:30:00",574.969,1.91741,"20.26",143.801,169,666.215,-579.733,7.11017e-17,"6098.89",8,26.1335,12088.8,2.687,"1.19632",41749.6,9.28181,"436.37"
"451",77,"wt","A5","8",4,"Start-0:05:00",218.558,0.729494,"9.95415",47.6002,51,761.816,-886.179,-8.38352e-17,"2456.91",3,6.00003,10111.6,2.24852,"0.470193",15239.6,3.3911,"188.589"
"452",77,"wt","A5","8",4,"0:05:00-0:10:00",447.577,1.49258,"13.3673",107.331,144,609.314,-556.541,-0.022923,"3962.19",26,96.1308,5166.34,1.14833,"1.31384",37208.7,8.27227,"392.253"
"453",77,"wt","A5","8",4,"0:10:00-0:15:00",288.104,0.960769,"11.7639",60.27,67,589.464,-670.787,1.58004e-17,"2936.9",7,5.26969,10989.3,2.4426,"0.677717",21594.9,4.801,"264.604"
"454",77,"wt","A5","8",4,"0:15:00-0:20:00",459.328,1.53108,"12.7009",116.795,147,798.65,-451.919,-9.15811e-17,"3868.14",12,49.2002,8273.12,1.83847,"1.40898",38347.3,8.52163,"384.186"
"455",77,"wt","A5","8",4,"0:20:00-0:25:00",25.0641,0.0835838,"0.921505",4.47269,6,523.33,-382.222,0,"270.625",0,0,3861.48,0.858297,"0.327453",1900.82,0.422593,"25.313"
"456",77,"wt","A5","8",4,"0:25:00-0:30:00",342.903,1.14351,"10.0854",80.3247,122,444.122,-411.491,0,"3043.04",20,56.1336,6845.56,1.52157,"1.30373",28762.7,6.39455,"315.006"
"457",78,"hom","A6","8",4,"Start-0:05:00",400.58,1.33704,"13.7651",97.9323,127,377.576,-341.38,-0.045999,"3471.75",11,13.5334,6690.63,1.4878,"1.09853",30810.1,6.85583,"367.291"
"458",78,"hom","A6","8",4,"0:05:00-0:10:00",302.09,1.00741,"11.379",58.1351,83,1008.09,-812.419,0.0287075,"3529.35",22,95.4671,3831.82,0.851704,"0.767127",24455.9,5.43706,"261.64"
"459",78,"hom","A6","8",4,"0:10:00-0:15:00",164.946,0.550062,"6.22609",32.6002,53,615.866,-542.462,-0.0171273,"1580.69",12,171.801,3169.03,0.704385,"1.43059",11893.5,2.64417,"135.196"
"460",78,"hom","A6","8",4,"0:15:00-0:20:00",320.538,1.06846,"10.899",65.861,94,782.881,-406.227,0.0143205,"3410.82",7,73.7337,8140.32,1.80896,"1.59563",24214.2,5.38094,"252.957"
"461",78,"hom","A6","8",4,"0:20:00-0:25:00",94.6306,0.315574,"3.84043",21.5986,36,471.396,-559.132,0.000140615,"969.356",2,8.53338,12525.4,2.78405,"0.850137",6613.08,1.47023,"82.8161"
"462",78,"hom","A6","8",4,"0:25:00-0:30:00",314.869,1.05002,"10.1727",77.8581,111,463.215,-407.225,0.0236988,"3069.42",12,69.9337,7378.17,1.63996,"1.72047",24418.7,5.42878,"263.121"
"463",79,"wt","B1","8",4,"Start-0:05:00",325.361,1.08598,"10.5173",76.1322,95,700.768,-496.252,-3.47995e-17,"2560.94",9,36.6668,9560.33,2.12593,"1.17883",25521.2,5.67894,"295.503"
"464",79,"wt","B1","8",4,"0:05:00-0:10:00",818.559,2.72973,"25.9451",215.403,157,799.034,-554.343,0.0123637,"7193.17",34,58.9336,8001.27,1.77846,"1.45628",66272.5,14.7338,"626.27"
"465",79,"wt","B1","8",4,"0:10:00-0:15:00",394.076,1.31417,"22.3481",77.6626,90,953.924,-721.422,0.0311391,"5907.62",6,14.4667,12298.5,2.73361,"0.954882",26656.7,5.92635,"340.598"
"466",79,"wt","B1","8",4,"0:15:00-0:20:00",561.063,1.8702,"19.7235",146.199,138,1838.97,-1536.13,-0.00161551,"6186.53",14,41.4669,8398.23,1.86627,"0.935647",47021.6,10.4492,"483.556"
"467",79,"wt","B1","8",4,"0:20:00-0:25:00",55.2673,0.184305,"2.89916",13.0061,12,551.85,-564.116,-0.0119186,"907.911",0,0,14473.9,3.21713,"0.0841709",4191.47,0.931852,"61.9567"
"468",79,"wt","B1","8",4,"0:25:00-0:30:00",612.598,2.04289,"19.5788",160.067,159,698.778,-460.918,0.0317298,"5822.09",22,64.267,7614.85,1.69256,"1.3799",49659.1,11.0403,"514.18"
"469",80,"het","B2","8",4,"Start-0:05:00",105.425,0.351886,"3.37023",27.1335,28,390.529,-364.622,-1.26544e-17,"866.897",2,159.067,3629.05,0.806993,"0.963893",8105.39,1.8036,"98.5466"
"470",80,"het","B2","8",4,"0:05:00-0:10:00",762.409,2.54248,"27.5203",194.868,189,677.663,-525.863,0.0289757,"8025.06",34,76.6671,6714.18,1.49237,"1.40457",59284.5,13.1802,"667.34"
"471",80,"het","B2","8",4,"0:10:00-0:15:00",198.242,0.661097,"17.0103",29.8001,40,886.716,-1007.37,-0.0152429,"4633.88",0,0,13923.8,3.09488,"0.135704",10828.7,2.40745,"160.972"
"472",80,"het","B2","8",4,"0:15:00-0:20:00",851.343,2.8378,"41.484",201.334,208,1124.43,-1098.05,1.56319e-16,"13282",18,72.0004,8221.84,1.82708,"1.60976",61632.8,13.6962,"761.652"
"473",80,"het","B2","8",4,"0:20:00-0:25:00",61.3123,0.204555,"3.89113",10.6667,13,579.014,-573.33,0.0338177,"1038.18",1,8.06671,6126.15,1.36197,"1.05779",3732.07,0.830086,"55.635"
"474",80,"het","B2","8",4,"0:25:00-0:30:00",832.609,2.77658,"40.0934",183.525,208,794.957,-666.958,1.89604e-17,"12054.9",25,86.4671,7077.33,1.57309,"1.74227",59520.7,13.2327,"746.615"
"475",1,"het","A1","9",1,"Start-0:05:00",319.868,1.06765,"12.2083",70.6004,93,1065.46,-675.269,-1.36034e-16,"3193.66",20,114.599,2821.55,0.627429,"0.59257",21054.3,4.68499,"223.104"
"476",1,"het","A1","9",1,"0:05:00-0:10:00",940.935,3.13783,"33.302",209.065,165,814.076,-606.352,0.0232854,"10468.4",19,69.6685,8358.48,1.85785,"1.65771",59812.8,13.2976,"542.075"
"477",1,"het","A1","9",1,"0:10:00-0:15:00",365.15,1.2177,"14.8944",77.6034,94,1498.61,-1130.82,-6.32015e-18,"4375.42",15,80.9337,4584.58,1.01902,"0.865485",23649.3,5.25773,"240.547"
"478",1,"het","A1","9",1,"0:15:00-0:20:00",1053.5,3.51164,"39.0376",208.328,119,682.457,-549.346,1.48424e-16,"12329.4",16,52.9336,8887.66,1.97504,"1.54056",60941.4,13.5425,"526.952"
"479",1,"het","A1","9",1,"0:20:00-0:25:00",239.463,0.798561,"7.04031",49.8062,72,770.221,-537.029,-5.68813e-17,"2043.47",12,163.201,2845.02,0.632368,"0.873584",15869.8,3.52818,"156.704"
"480",1,"het","A1","9",1,"0:25:00-0:30:00",1002.14,3.34194,"34.0581",221.459,180,1126.75,-835.299,0.0748285,"10562.7",19,64.8003,8336.76,1.85302,"1.5771",55627.1,12.3671,"448.706"
"481",2,"het","A2","9",1,"Start-0:05:00",20.7638,0.0693048,"0.417623",2.66668,3,211.809,-156.706,1.42362e-17,"120.009",1,116.066,5871.81,1.30572,"1.37348",1331.05,0.296184,"11.1933"
"482",2,"het","A2","9",1,"0:05:00-0:10:00",1110.56,3.70351,"53.3586",189.331,121,1294.43,-1824.81,0.0298086,"12532.2",35,96.402,6067.41,1.34861,"1.42316",70624.9,15.7014,"635.575"
"483",2,"het","A2","9",1,"0:10:00-0:15:00",198.042,0.660429,"9.25623",33.5365,25,975.568,-804.915,-6.47815e-17,"2149.58",0,0,11197.2,2.48882,"0.0743772",11992,2.66607,"103.257"
"484",2,"het","A2","9",1,"0:15:00-0:20:00",1266.2,4.22065,"51.8432",220.728,103,1399.09,-1560.93,2.52637e-17,"14760.3",31,63.0003,7682.54,1.70723,"1.28642",78373,17.4162,"649.264"
"485",2,"het","A2","9",1,"0:20:00-0:25:00",143.901,0.479881,"15.492",15.8061,9,1652.19,-1602.6,-6.32015e-18,"4498.14",0,0,12080.3,2.6851,"0.0392517",6738,1.498,"73.3662"
"486",2,"het","A2","9",1,"0:25:00-0:30:00",1164.19,3.88234,"47.5176",203.925,117,881.618,-806.3,0.0151721,"13413",31,53.5336,7768.5,1.72672,"1.2927",71537.7,15.9043,"616.369"
